Make,Model,Nickname,Car Gender,Buyer Gender,Buyer Age,Buzzword,Country,City,Dealer Latitude,Dealer Longitude,Color,New Car,Purchase Date,Sale Price,Discount,Resell Price,5-yr Depreciation,Top Speed,0-60 Time
Suzuki,Vitara,Philippine,Female,Female,51,User-friendly,Belgium,Antwerpen,51.2472392,4.4403455,Yellow,FALSE,19/07/2009,54806.14,0.2467,33858.32,0.13,200.9,11.5
Honda,S2000,Henrik,Male,Male,30,analyzing,China,Jinhu,33.025433,119.020584,Crimson,FALSE,26/10/2015,51826.3,0.3147,2989.28,0.02,158.5,8.8
BMW,Z4,Lebbie,Male,Female,54,software,China,Gemo,30.9162065,121.6776404,Khaki,FALSE,28/03/2010,82929.14,0.5414,35049.16,0.24,149.5,14.4
Toyota,Tacoma,Jefferey,Female,Male,68,monitoring,Portugal,Queluz de Baixo,38.7451684,-9.2670871,Puce,FALSE,07/05/2008,56928.66,0.085,8236.15,0.2,153.3,11.5
Ford,Festiva,Glendon,Female,Male,70,Sharable,Latvia,Jaunpils,56.72998,23.0165879,Yellow,FALSE,01/06/2008,77201.26,0.1642,32765.76,0.18,122,14.9
Buick,Skylark,Glad,Male,Female,70,Vision-oriented,Mexico,Guadalupe,25.6775595,-100.2596935,Crimson,FALSE,17/05/2007,50882.23,0.6913,38576.59,0.16,182.7,9.6
Infiniti,QX,Bud,Male,Male,66,throughput,Japan,Gosen,37.7525244,139.1650556,Fuscia,TRUE,11/08/2017,69680.54,0.1657,27962.25,0.18,231.8,5.3
Ram,C/V,Geoffrey,Female,Male,37,circuit,Russia,Izborsk,57.708244,27.8608831,Aquamarine,TRUE,23/11/2007,56393.91,0.1006,29157.95,0.14,144.1,4.7
GMC,Safari,Marius,Female,Male,43,bottom-line,Luxembourg,Eschweiler,49.99754,5.9475635,Mauv,TRUE,16/03/2003,13797.81,0.2126,31062.38,0.01,223.3,5.8
Nissan,Altima,Vi,Male,Female,73,Grass-roots,Cyprus,Meneou,34.8582652,33.6007892,Puce,TRUE,19/05/2019,15176.04,0.1922,45892.79,0.12,170.4,4.1
Toyota,Previa,Winni,Female,Female,67,Horizontal,Brazil,Freguesia do Ribeirao da Ilha,-27.7203552,-48.563999,Violet,TRUE,02/03/2004,82844.12,0.1651,4740.87,0.05,135.4,8.9
Scion,xB,Arlie,Male,Female,29,contingency,China,Chengbei,36.650038,101.766228,Green,TRUE,09/09/2008,95681.78,0.5507,16358.27,0.08,136.4,4.1
Porsche,928,Celesta,Female,Female,37,discrete,Philippines,Pangal Sur,16.67064,121.71581,Fuscia,FALSE,26/01/2020,90954.5,0.3937,40650.31,0.1,213.9,2.5
Lexus,HS,Rey,Female,Male,43,groupware,Paraguay,Villa Elisa,-25.3823822,-57.5872528,Turquoise,FALSE,28/06/2014,46666.83,0.6937,33634.37,0.08,134.1,4.4
GMC,Yukon,Nevil,Female,Male,41,Total,Mexico,San Isidro,20.7303804,-103.3977222,Teal,TRUE,06/10/2020,11280,0.2396,9279.51,0.08,248.7,7.3
Mitsubishi,Mirage,Hasty,Female,Male,21,zero administration,China,Dalu,25.606486,100.267638,Indigo,FALSE,14/04/2011,23110.07,0.6385,41916.47,0.04,245.6,3.4
Dodge,Viper,Bernhard,Male,Male,57,transitional,Indonesia,Sumberejo,-7.2030729,112.0237903,Teal,TRUE,17/10/2004,77346.39,0.6078,32280.44,0.18,159.8,8.2
Mazda,B2500,Tonie,Male,Female,54,superstructure,Togo,Tchamba,9.029518,1.4168974,Crimson,TRUE,27/09/2002,15500.07,0.6852,20175.47,0.04,185.6,5.4
Land Rover,LR3,Haskel,Female,Male,37,Open-architected,Palestinian Territory,Ar Ramāḑīn,31.375657,34.905759,Aquamarine,FALSE,28/09/2015,84151.25,0.1375,49656.3,0.05,120.6,13
Isuzu,Space,Lynette,Female,Female,66,Grass-roots,China,Dengteke,48.6429165,124.5597559,Green,FALSE,20/10/2009,97058.87,0.1654,21985.35,0.21,136.6,8.5
Acura,TL,Libbie,Male,Female,43,bandwidth-monitored,Iran,Rāmhormoz,31.2777088,49.5993167,Red,TRUE,15/05/2005,74986.42,0.0637,31655.99,0.02,125.2,11.8
Pontiac,Bonneville,Quinta,Male,Female,56,didactic,Hong Kong,Hong Kong,22.396428,114.109497,Pink,TRUE,22/05/2003,63314.15,0.4378,36647.24,0.09,175.4,12.1
Dodge,Dakota Club,Guglielmo,Female,Male,53,incremental,Bangladesh,Jessore,23.1387718,89.2502399,Yellow,FALSE,29/04/2007,77520.81,0.6809,23681.6,0.24,143.7,13
Audi,Cabriolet,Rosalie,Male,Female,55,matrices,Ecuador,Macas,-2.3062241,-78.1153707,Puce,TRUE,23/07/2008,78231.21,0.2408,5938.36,0.02,155,3.4
Pontiac,Sunfire,Joshuah,Male,Male,32,workforce,Afghanistan,Khudāydād Khēl,35.17835,67.68758,Maroon,TRUE,21/01/2020,62931.23,0.0491,27403.55,0.17,126.2,10.8
Citroën,2CV,Ulrick,Female,Male,47,Pre-emptive,Kazakhstan,Zhangatas,43.56667,69.75,Green,FALSE,23/12/2018,44071.48,0.6185,43216.49,0.06,245.1,13.9
Ford,Tempo,Geri,Female,Female,72,Horizontal,Philippines,Binalonan,16.0655913,120.5877148,Pink,FALSE,07/11/2008,65774.81,0.0937,33514.28,0.12,247.5,7.1
Buick,LeSabre,Trey,Female,Male,47,Object-based,United States,Jacksonville,30.3321838,-81.655651,Puce,TRUE,26/01/2006,16281.78,0.2986,43289.16,0.03,248.2,3.8
Saab,9-2X,Bat,Male,Male,67,Innovative,Poland,Łąck,52.4506032,19.6362734,Pink,FALSE,26/02/2019,99305.5,0.5959,6753.2,0.24,120.3,8.2
Buick,Skylark,Clarette,Female,Female,57,bottom-line,China,Dasiping,41.318142,124.719659,Violet,TRUE,05/04/2020,57747.61,0.0135,31158.31,0.01,220.2,3.9
Ford,Escape,Carter,Female,Male,42,5th generation,France,Saint-Étienne,45.4381658,4.3868779,Crimson,TRUE,27/09/2002,56105.94,0.5192,48912.1,0.13,205.3,4.2
Mercury,Sable,Vale,Female,Female,66,Open-architected,China,Longgao,34.954134,108.320121,Orange,FALSE,03/12/2006,54543.15,0.6549,39275.37,0.22,185.2,5.8
Plymouth,Colt,Brigid,Female,Female,67,circuit,Indonesia,Gudang,-7.266667,111.866667,Teal,FALSE,05/09/2003,98635.22,0.6865,12622.44,0.12,130.6,3.5
Infiniti,G,Colline,Male,Female,68,Realigned,Vietnam,Thành Phố Hạ Long,20.9711977,107.0448069,Goldenrod,FALSE,16/11/2014,14908.65,0.0943,44991.92,0.23,140.7,8.9
Maserati,Spyder,Gray,Male,Female,65,open system,Bhutan,Mongar,27.2753739,91.2397775,Violet,FALSE,10/05/2005,98249.11,0.4141,42102.6,0.1,208.9,3.3
Buick,Riviera,Lezlie,Male,Female,49,Up-sized,Mexico,Francisco I Madero,25.7784224,-103.2605763,Indigo,TRUE,03/09/2003,18698.98,0.1543,35681.18,0.22,230.7,7.8
Cadillac,Seville,Sal,Male,Male,52,task-force,Indonesia,Mondokan,-7.3072726,110.9387418,Turquoise,TRUE,07/07/2008,31017.64,0.1139,11061.65,0.18,132.6,12.7
Buick,Century,Keary,Female,Male,75,infrastructure,Mexico,Guadalupe Victoria,32.28786,-115.1046436,Turquoise,FALSE,01/04/2004,32002.48,0.2772,23777.88,0.02,224.7,5.8
Scion,iQ,Hurleigh,Male,Male,48,secured line,France,Saint-Dizier,48.65639,4.912419,Teal,FALSE,10/03/2011,74486.44,0.4516,12498.33,0.2,177.8,12.7
BMW,7 Series,Ewell,Male,Male,29,Operative,Afghanistan,Kandahār,31.628871,65.7371749,Teal,TRUE,07/08/2015,89823.58,0.3765,2386.28,0.07,160.8,10.9
Chevrolet,Camaro,Raynor,Female,Male,49,Open-source,Serbia,Beška,45.1364794,20.0820648,Maroon,FALSE,19/11/2005,33074.12,0.3942,25108.18,0.12,138.3,8.2
Subaru,Outback,Shoshana,Female,Female,72,User-centric,Sweden,Norrköping,58.5706557,16.1653052,Yellow,FALSE,23/10/2013,71250.14,0.2833,16427.16,0.23,193.4,14.9
Mercedes-Benz,C-Class,Jeanna,Female,Female,23,circuit,United States,Roanoke,37.27,-79.94,Purple,FALSE,22/03/2016,17346.3,0.1651,35127.97,0.13,227.5,2.6
Mercedes-Benz,Sprinter 3500,Rori,Female,Female,28,adapter,Russia,Roshal’,55.6583701,39.8653499,Green,FALSE,24/10/2008,17223.27,0.1352,41532.58,0.22,236.5,14.9
Chevrolet,Suburban 1500,Cirstoforo,Male,Male,36,Profit-focused,Maldives,Open Stage,5.1053,73.07115,Pink,TRUE,18/03/2009,10490.64,0.4448,16590.68,0.22,230.7,12
Volkswagen,Cabriolet,Dorita,Male,Female,22,secondary,Argentina,Costa Sacate,-31.646394,-63.760259,Fuscia,TRUE,30/04/2016,62673.34,0.2907,30736.63,0.11,195.4,7.6
Ford,E-Series,Halie,Female,Female,40,Synergistic,China,Ciyu,27.9593333,-82.7996813,Indigo,TRUE,11/03/2014,10978.72,0.6184,43459.97,0.06,213,4.4
Pontiac,Bonneville,Welsh,Male,Male,20,Right-sized,Czech Republic,Třebíč,49.2147869,15.8795516,Goldenrod,FALSE,09/08/2011,30807.01,0.4902,5822.22,0.06,170,4.8
Volvo,XC70,Lovell,Female,Male,48,analyzer,Russia,Dal’neye Konstantinovo,55.8071267,44.086347,Orange,TRUE,11/10/2017,83931.45,0.558,33976.28,0.07,125.2,9.7
Chevrolet,Silverado 3500,Artemas,Female,Male,60,Optional,Russia,Strel'na,59.8583045,30.0461164,Red,TRUE,02/03/2012,19302.57,0.2671,38297.54,0.09,233.3,8
Volkswagen,Phaeton,Padriac,Female,Male,45,Open-source,Portugal,Marinha,39.856276,-8.78126,Red,TRUE,16/04/2012,36523.47,0.1267,48115.11,0.14,182.4,9.9
