Prom_pondera,Porcentaje_asistencia,Autoevaluaciones,Curso_cargo,Sexo,Sede,Edad,Trabaja,Graduado
15,0.25,1,1,F,Lambayeque,27,Si,No
14,0.58,4,1,F,Chimbote,29,No,No
17,0.27,5,1,F,Arequipa,29,Si,No
14,0.3,14,1,M,Chimbote,28,No,No
19,0.55,15,1,M,Lambayeque,23,Si,Si
17,0.07,4,1,F,Loreto,29,No,No
14,0.66,1,1,M,Chimbote,30,No,No
20,0.02,4,1,F,Lambayeque,25,No,Si
14,0.42,9,1,M,Arequipa,28,No,Si
20,0.67,7,0,M,Chimbote,20,No,No
20,0.78,6,0,M,Chimbote,19,Si,Si
16,0.79,11,0,M,Arequipa,28,No,No
17,0.21,2,0,M,Chimbote,28,No,No
20,0.52,16,1,F,Lima,22,Si,Si
17,0.06,14,1,M,Loreto,22,Si,Si
19,0.84,10,1,M,Chimbote,30,Si,No
14,0.72,15,0,M,Arequipa,21,No,Si
17,0.66,10,0,M,Lambayeque,29,Si,No
20,0.04,4,0,M,Arequipa,24,Si,Si
15,0.31,15,1,M,Loreto,17,Si,Si
19,0.16,4,1,F,Loreto,20,No,Si
19,0.9,5,0,M,Loreto,22,Si,No
17,0.02,10,1,M,Arequipa,17,Si,Si
17,0.31,4,0,M,Lambayeque,22,Si,No
17,0.97,11,0,M,Arequipa,27,Si,No
15,0.22,1,1,M,Arequipa,18,Si,Si
16,0.59,12,1,F,Loreto,25,No,Si
16,0.11,2,0,F,Loreto,28,Si,Si
20,0.25,15,1,M,Lima,24,Si,Si
18,0.87,2,0,F,Loreto,26,Si,No
17,0.85,14,0,M,Loreto,27,No,Si
18,0.51,11,1,F,Arequipa,22,Si,Si
19,0.69,10,1,F,Lima,22,No,No
17,0.85,4,1,M,Lima,25,Si,Si
18,0.11,15,0,M,Chimbote,22,Si,No
15,0.08,13,1,F,Loreto,26,Si,Si
15,0.51,13,0,M,Chimbote,21,No,No
18,0.13,8,0,M,Loreto,30,Si,Si
14,0.63,2,0,F,Arequipa,22,Si,Si
20,0.36,1,1,M,Lima,26,No,No
20,0.74,11,0,M,Lima,22,Si,No
20,0.76,14,1,F,Loreto,23,Si,No
19,0.53,16,1,F,Arequipa,21,Si,Si
16,0.18,2,1,M,Loreto,30,Si,No
17,0.82,4,1,F,Chimbote,25,Si,Si
18,0.87,13,1,M,Chimbote,23,No,Si
17,0.63,10,1,F,Arequipa,19,Si,No
14,0.36,9,1,F,Loreto,28,No,Si
18,0.7,16,1,M,Lima,30,No,Si
17,0.88,7,1,F,Lima,29,No,Si
18,0.85,10,1,M,Lambayeque,23,No,Si
14,0.7,12,0,F,Lima,29,Si,Si
17,0.86,5,1,M,Lima,19,No,Si
16,0.24,5,0,M,Lambayeque,23,No,No
20,0.61,1,0,M,Lambayeque,22,No,No
14,0.67,5,0,M,Chimbote,17,Si,No
16,0.01,16,0,F,Loreto,28,No,No
15,0.47,16,1,F,Arequipa,17,Si,Si
18,0.16,5,1,F,Arequipa,18,Si,Si
15,0.19,2,1,M,Chimbote,21,No,Si
19,0.36,16,1,F,Chimbote,24,Si,Si
14,0.39,5,0,M,Chimbote,24,No,No
14,0.51,2,1,M,Lima,23,Si,Si
16,0.45,4,0,F,Lima,19,No,No
20,0.93,13,0,F,Lambayeque,23,Si,Si
14,0.34,5,1,M,Chimbote,17,No,Si
20,0.75,15,0,M,Loreto,23,Si,Si
17,0.21,3,1,F,Lambayeque,23,Si,No
17,0.9,1,1,M,Loreto,29,Si,Si
14,0.29,6,0,F,Arequipa,22,Si,Si
20,0.07,8,0,F,Loreto,27,No,Si
20,0.97,12,0,F,Lambayeque,20,No,No
14,0.93,6,0,F,Arequipa,28,No,Si
17,0.9,12,1,F,Lima,25,Si,Si
16,0.01,7,0,F,Lima,17,Si,Si
18,0.72,16,0,M,Lima,21,No,No
14,0.2,11,1,M,Loreto,17,Si,No
17,0.46,3,0,M,Lambayeque,25,No,Si
14,0.89,5,0,F,Arequipa,19,Si,No
15,0.41,15,0,F,Arequipa,17,Si,Si
15,0.66,6,0,M,Arequipa,29,Si,Si
19,0.38,8,1,F,Lima,19,Si,No
20,0.63,13,0,F,Lambayeque,20,Si,No
19,0.92,3,1,F,Lambayeque,24,Si,No
17,0.13,11,0,F,Chimbote,20,No,Si
19,0.33,11,1,M,Arequipa,27,No,Si
14,0.9,3,0,M,Lima,27,Si,Si
20,0.83,14,1,M,Arequipa,17,Si,Si
